,,247Sports,AS,College,DT,Draft,ESPN,FS,From,HM,HS,High School,MP,PS,Pk,Player,PrepStars,RC,RH,RH/PS,RSCI,Rd,Rivals,SC,SI,SN,SS,Scout,Tm,To,VC,WS
50,,,,Loyola (IL),66,,,,,,52,,,20,,Justin Cerasoli (college),,76,,,51,,,,,,,,,,59,
51,,,,Georgia Tech,49,,,,,,55,,,37,,Ra'Sean Dickey (college),,55,,,T51,,,,,,,,,,77,
52,,,,Oklahoma State University,88,2007,,,2010,,60,"Eastern Alamance (Mebane, NC)",,27,51,JamesOn Curry (college),,72,,,53,2,,,,,,,CHI,2010,31,0.0
53,,,,Michigan State,34,,,,,,42,,,81,,Drew Neitzel (college),,68,,,54,,,,,,,,,,56,
54,,,,North Carolina,40,,,,,,94,,,40,,Quentin Thomas (college),,96,,,55,,,,,,,,,,28,
55,,,,Oregon,65,,,,,,27,,,45,,Churchill Odia (college),,,,,56,,,,,,,,,,62,
56,,,,UCLA,,,,,,,46,,,56,,Josh Shipp (college),,43,,,57,,,,,,,,,,58,
57,,,,Mississippi State,75,,,,,,59,,,60,,Charles Rhodes (college),,52,,,58,,,,,,,,,,64,
58,,,,Arkansas,44,,,,,,67,,,83,,Charles Thomas (college),,49,,,59,,,,,,,,,,68,
59,,,,North Carolina State,42,,,,,,,,,43,,Andrew Brackman (college),,93,,,60,,,,,,,,,,33,
60,,,,Virginia Tech,74,,,,,,69,,,49,,Marquie Cooke (college),,57,,,61,,,,,,,,,,65,
61,,,,Vanderbilt University,55,,,,,,49,,,58,,Shan Foster (college),,82,,,62,,,,,,,,,,74,
62,,,,Missouri,61,,,,,,57,,,61,,Kalen Grimes (college),,63,,,63,,,,,,,,,,82,
63,,,,,20,2005,,,2006,,2,"South Kent School (South Kent, CT)",,,49,Andray Blatche,,,,,64,2,,,,,,,WAS,2014,,19.2
64,,,,Syracuse,92,,,,,,33,,,,,Dayshawn Wright (college),,51,,,65,,,,,,,,,,51,
65,,,,Arizona,63,,,,,,68,,,65,,Mohamed Tangara (college),,64,,,66,,,,,,,,,,69,
66,,,,Florida International,45,,,,,,51,,,79,,Alex Galindo (college),,65,,,67,,,,,,,,,,90,
67,,,,University of Kansas,62,2008,,,2009,,89,"Midwest City (Midwest City, OK)",,86,52,Darnell Jackson (college),,54,,,68,2,,,,,,,MIA,2011,52,1.0
68,,,,Oregon State,59,,,,,,77,,,70,,C.J. Giles (college),,62,,,69,,,,,,,,,,76,
69,,,,Ohio State,69,,,,,,81,,,66,,Jamar Butler (college),,69,,,70,,,,,,,,,,63,
70,,,,Duke,57,,,,,,88,,,54,,David McClure (college),,86,,,71,,,,,,,,,,72,
71,,,,University of Florida,68,2007,,,2008,,,"The Lawrenceville School (Lawrenceville, NJ)",,39,9,Joakim Noah (college),,75,,,72,1,,,,,,,CHI,2018,75,59.6
72,,,,Brigham Young,64,,,,,,,,,74,,Lee Cummard (college),,,,,73,,,,,,,,,,29,
73,,,,Georgia Tech,93,,,,,,91,,,92,,Jeremis Smith (college),,39,,,74,,,,,,,,,,55,
74,,,,Gonzaga,50,,,,,,80,,,90,,Josh Heytvelt (college),,,,,T74,,,,,,,,,,49,
75,,,,Indiana,72,,,,,,100,,,55,,A.J. Ratliff (college),,77,,,76,,,,,,,,,,83,
76,,,,Illinois,58,,,,,,74,,,93,,Shaun Pruitt (college),,78,,,77,,,,,,,,,,85,
77,,,,North Carolina State,70,,,,,,63,,,77,,Gavin Grant (college),,,,,78,,,,,,,,,,87,
78,,,,Alabama,71,,,,,,79,,,,,Albert Weber (college),,47,,,79,,,,,,,,,,,
79,,,,Pittsburgh,,,,,,,54,,,,,Keith Benjamin (college),,,,,81,,,,,,,,,,50,
80,,,,Providence,96,,,,,,56,,,76,,DeSean White (college),,79,,,82,,,,,,,,,,,
81,,,,Michigan,,,,,,,87,,,73,,Ron Coleman (college),,95,,,83,,,,,,,,,,57,
82,,,,University of Alabama at Birmingham,95,2008,,,2009,,73,"A.H. Parker (Birmingham, AL)",,,32,Walter Sharpe (college),,44,,,84,2,,,,,,,SEA,2009,,-0.1
83,,,,South Carolina,90,,,,,,78,,,57,,Zam Fredrick (college),,,,,85,,,,,,,,,,95,
84,,,,University of California,97,,,,,,64,,,71,,Devon Hardin (college),,89,,,86,,,,,,,,,,,
85,,,,University of Oregon,91,,,,,,93,,,,,Maarty Leunen (college),,60,,,87,,,,,,,,,,79,
86,,,,Gonzaga,94,,,,,,47,,,,,David Pendergraft (college),,,,,88,,,,,,,,,,89,
87,,,,San Diego State,,,,,,,,,,63,,Lorrenzo Wade (college),,87,,,89,,,,,,,,,,86,
88,,,,University of Southern California,,2007,,,2008,,,"Cleveland (Reseda, CA)",,99,16,Nick Young (college),,,,,T89,1,,,,,,,WAS,2018,36,20.5
89,,,,Wisconsin,,,,,,,45,,,,,DeAaron Williams (college),,,,,91,,,,,,,,,,91,
90,,,,Georgia Institute of Technology,89,,,,2009,,,"Charlotte Latin (Charlotte, NC)",,95,,Anthony Morrow (college),,94,,,T91,,,,,,,,,2017,60,25.1
91,,,,Indiana,78,,,,,,83,,,,,James Hardy (college),,80,,,93,,,,,,,,,,100,
92,,,,Iowa State,,,,,,,,,,,,Rahshon Clark (college),,67,,,94,,,,,,,,,,73,
93,,,,Seton Hall,,,,,,,66,,,80,,Brian Laing (college),,,,,95,,,,,,,,,,,
94,,,,Clemson,86,,,,,,,,,62,,Sam Perry (college),,,,,96,,,,,,,,,,,
95,,,,Oklahoma,,,,,,,,,,78,,Longar Longar (college),,,,,97,,,,,,,,,,71,
96,,,,Iowa State,,,,,,,62,,,,,Alex Thompson (college),,,,,99,,,,,,,,,,88,
97,,,,Alabama-Birmingham,83,,,,,,,,,85,,Channing Toney (college),,84,,,100,,,,,,,,,,,
98,,,,,,,,,2005,,,"Coastal Christian Academy (Virginia Beach, VA)",,50,,Jackie Butler,,,,,T100,,,,,,,,,2007,,1.4
99,,,,Florida State University,85,2009,,,2010,,,"Jonesboro (Jonesboro, GA)",,,29,Toney Douglas (college),,66,,,T100,1,,,,,,,LAL,2017,,15.4
0,,,1,,1,2003,,1,2004,,1,"Saint Vincent-Saint Mary (Akron, OH)",,1,1,LeBron James,,1,,,1,1,,,,,1,,CLE,2018,,219.4
1,,,2,Duke University,2,2004,,2,2005,,2,"Blair Academy (Blairstown, NJ)",,2,7,Luol Deng (college),,2,,,2,1,,,,,2,,PHO,2018,,77.7
2,,,3,Michigan State University,5,2006,,8,2007,,3,"Proviso East (Maywood, IL)",,3,25,Shannon Brown (college),,6,,,3,1,,,,,5,,CLE,2015,,9.0
3,,,4,,3,2003,,3,2004,,6,"Westbury Christian School (Houston, TX)",,5,26,Ndudi Ebi,,9,,,4,1,,,,,4,,MIN,2005,,0.1
4,,,7,,6,2003,,4,2004,,14,"Clifton J. Ozen (Beaumont, TX)",,4,27,Kendrick Perkins,,8,,,5,1,,,,,7,,MEM,2018,,29.0
5,,,10,Wake Forest University,9,2005,,11,2006,,7,"West Forsyth (Clemmons, NC)",,9,4,Chris Paul (college),,11,,,6,1,,,,,10,,NOH,2018,,164.8
6,,,15,Wisconsin,11,,,7,,,5,,,14,,Brian Butch (college),,5,,,7,,,,,,11,,,,,
7,,,5,Louisville,4,,,12,,,15,,,8,,David Padgett (college),,7,,,T7,,,,,,17,,,,,
8,,,13,University of California,8,2006,,9,2007,,17,"Oakland Technical (Oakland, CA)",,6,49,Leon Powe (college),,13,,,9,2,,,,,3,,DEN,2011,,12.7
9,,,17,University of Minnesota,18,2004,,14,2005,,8,"Hopkins (Minnetonka, MN)",,11,14,Kris Humphries (college),,10,,,10,1,,,,,13,,UTA,2017,,33.8
10,,,20,Florida State University,15,2005,,13,2006,,10,"Heritage Christian Academy (Cleveland, TX)",,12,39,Von Wafer (college),,20,,,11,2,,,,,12,,LAL,2012,,2.8
11,,,14,Louisiana State University,14,2005,,15,2006,,10,"Capitol (Baton Rouge, LA)",,15,33,Brandon Bass (college),,26,,,12,2,,,,,14,,NOH,2017,,42.8
12,,,31,Arkansas,20,,,16,,,9,,,21,,Olu Famutimi (college),,19,,,13,,,,,,15,,,,,
13,,,6,,17,2003,,18,2004,,16,"Starkville (Starkville, MS)",,24,23,Travis Outlaw,,34,,,14,1,,,,,18,,POR,2014,,17.5
14,,,12,University of Missouri,13,2005,,24,2006,,22,"Montrose Christian School (Rockville, MD)",,18,27,Linas Kleiza (college),,23,,,T14,1,,,,,21,,POR,2013,,13.6
15,,,19,University of New Mexico,21,2008,,25,2009,,10,"John Marshall (Oklahoma City, OK)",,16,30,J.R. Giddens (college),,22,,,T14,1,,,,,20,,BOS,2010,,0.2
16,,,18,Maryland,22,,,21,,,27,,,17,,Mike Jones (college),,15,,,17,,,,,,16,,,,,
17,,,8,University of Connecticut,7,2005,,6,2006,,,"Blair Academy (Blairstown, NJ)",,7,7,Charlie Villanueva (college),,3,,,18,1,,,,,6,,TOR,2016,,22.6
18,,,16,"University of California, Los Angeles",19,2004,,23,2005,,18,"Westchester (Los Angeles, CA)",,29,43,Trevor Ariza (college),,17,,,19,2,,,,,24,,NYK,2018,,60.1
19,,,9,,12,2003,,5,2007,,,"Central Park Christian (Birmingham, AL)",,10,48,James Lang,,4,,,20,2,,,,,9,,NOH,2007,,0.1
20,,,27,Xavier,29,,,20,,,10,,,30,,Drew Lavender (college),,14,,,21,,,,,,35,,,,,
21,,,21,Michigan,23,,,29,,,33,,,25,,Dion Harris (college),,18,,,22,,,,,,28,,,,,
22,,,24,Detroit Mercy,28,,,22,,,20,,,32,,Brandon Cotton (college),,35,,,23,,,,,,19,,,,,
23,,,23,George Washington,27,,,35,,,21,,,19,,Regis Koundjia (college),,25,,,24,,,,,,33,,,,,
24,,,11,University of Arizona,10,,,10,2011,,,"Friends' Central School (Wynnewood, PA)",,13,,Mustafa Shakur (college),,33,,,25,,,,,,8,,,2014,,-0.5
25,,,35,Ohio State,48,,,19,,,26,,,34,,Ivan Harris (college),,12,,,26,,,,,,25,,,,,
26,,,22,Maryland,46,,,26,,,31,,,36,,Ekene Ibekwe (college),,29,,,27,,,,,,30,,,,,
27,,,46,Illinois,32,,,32,,,30,,,20,,Rich McBride (college),,36,,,28,,,,,,29,,,,,
28,,,39,University of Pittsburgh,43,2005,,31,2006,,40,"Xaverian (Brooklyn, NY)",,35,42,Chris Taft (college),,24,,,29,2,,,,,22,,GSW,2006,,0.5
29,,,25,,33,,,27,2005,,40,"Coastal Christian Academy (Virginia Beach, VA)",,26,,Jackie Butler,,56,,,30,,,,,,32,,,2007,,1.4
30,,,45,Syracuse University,24,2007,,36,2008,,28,"St. Andrew's School (Barrington, RI)",,50,53,Demetris Nichols (college),,21,,,31,2,,,,,41,,POR,2009,,-0.5
31,,,38,University of Oregon,37,2007,,30,2008,,23,"Franklin (Seattle, WA)",,22,26,Aaron Brooks (college),,81,,,32,1,,,,,31,,HOU,2018,,23.3
32,,,,Memphis,26,,,28,,,32,,,23,,Sean Banks (college),,27,,,33,,,,,,26,,,,,
33,,,55,Syracuse University,25,,,42,2008,,62,"Paterson Catholic (Paterson, NJ)",,31,,Darryl Watkins (college),,37,,,34,,,,,,37,,,2012,,-0.1
34,,,30,California,52,,,33,,,48,,,38,,Ayinde Ubaka (college),,47,,,35,,,,,,43,,,,,
35,,,49,Kansas,35,,,34,,,25,,,37,,Rodrick Stewart (college),,76,,,36,,,,,,38,,,,,
36,,,67,Louisiana State,34,,,38,,,40,,,27,,Tack Minor (college),,66,,,37,,,,,,23,,,,,
37,,,42,University of Missouri,42,,,44,2008,,29,"Jefferson (Portland, OR)",,70,,Thomas Gardner (college),,49,,,38,,,,,,45,,,2009,,-0.4
38,,,43,University of Massachusetts Amherst,67,,,37,2011,,34,"Benjamin Banneker Academy (Brooklyn, NY)",,52,,Gary Forbes (college),,55,,,39,,,,,,46,,,2012,,1.7
39,,,56,University of Arkansas,38,2006,,53,2007,,24,"Fayetteville (Fayetteville, AR)",,69,14,Ronnie Brewer (college),,39,,,T39,1,,,,,55,,UTA,2014,,35.2
40,,,64,University of Connecticut,61,2006,,46,2007,,40,"Oak Hill Academy (Mouth of Wilson, VA)",,48,22,Marcus Williams (college),,42,,,41,1,,,,,34,,NJN,2010,,-0.0
41,,,62,Syracuse,41,,,48,,,49,,,63,,Terrence Roberts (college),,32,,,42,,,,,,48,,,,,
42,,,85,University of Florida,44,2007,,41,2008,,37,"Kathleen (Lakeland, FL)",,57,41,Chris Richard (college),,44,,,43,2,,,,,36,,MIN,2010,,0.7
43,,,47,New Mexico State,30,,,43,,,,,,40,,Martin Iti (college),,59,,,44,,,,,,39,,,,,
44,,,58,Villanova,57,,,59,,,56,,,45,,Will Sheridan (college),,63,,,45,,,,,,44,,,,,
45,,,50,San Diego State,47,,,60,,,40,,,99,,Mohamed Abukar (college),,30,,,46,,,,,,68,,,,,
46,,,61,Louisville,58,,,51,,,40,,,67,,Brandon Jenkins (college),,50,,,47,,,,,,74,,,,,
47,,,48,Kentucky,76,,,52,,,88,,,41,,Shagari Alleyne (college),,77,,,48,,,,,,27,,,,,
48,,,,Florida State University,,2006,,17,2007,,,"Dougherty Comprehensive (Albany, GA)",,28,45,Alexander Johnson (college),,16,,,49,2,,,,,53,,IND,2008,,1.5
49,,,,Mississippi State,36,,,47,,,,,,46,,Gary Ervin (college),,41,,,50,,,,,,49,,,,,
50,,,44,Michigan State,65,,,45,,,57,,,58,,Drew Naymick (college),,,,,51,,,,,,54,,,,,
51,,,53,University of Michigan,39,,,49,2008,,69,"Noble and Greenough School (Dedham, MA)",,47,,Courtney Sims (college),,,,,52,,,,,,71,,,2009,,-0.0
52,,,41,Illinois,56,,,58,,,84,,,64,,Brian Randle (college),,70,,,53,,,,,,59,,,,,
53,,,33,Kansas State University,51,,,68,2009,,58,"Aldine Nimitz (Houston, TX)",,89,,Cartier Martin (college),,72,,,54,,,,,,62,,,2015,,5.1
54,,,32,California,59,,,56,,,68,,,61,,Omar Wilkes (college),,84,,,55,,,,,,80,,,,,
55,,,51,Southern California,50,,,63,,,70,,,53,,Lodrick Stewart (college),,,,,56,,,,,,58,,,,,
56,,,54,Southeast Missouri State,92,,,55,,,89,,,68,,Brandon Foust (college),,38,,,57,,,,,,52,,,,,
57,,,,Georgia,96,,,39,,,,,,33,,Corey Gibbs (college),,40,,,58,,,,,,42,,,,,
58,,,,Tennessee,49,,,57,,,100,,,49,,Major Wingate (college),,58,,,59,,,,,,40,,,,,
59,,,93,University of North Carolina,70,,,40,,,100,,,43,,Reyshawn Terry (college),,62,,,60,,,,,,47,,,,,
60,,,82,Virginia,60,,,54,,,40,,,96,,J.R. Reynolds (college),,60,,,61,,,,,,67,,,,,
61,,,73,Michigan,68,,,67,,,50,,,39,,Brent Petway (college),,,,,62,,,,,,63,,,,,
62,,,65,Massachusetts,54,,,66,,,97,,,44,,Art Bowers (college),,88,,,63,,,,,,51,,,,,
63,,,63,,16,2004,,,2005,,4,"Leuzinger (Lawndale, CA)",,83,19,Dorell Wright,,,,,64,1,,,,,,,MIA,2015,,25.9
64,,,40,Villanova,79,,,85,,,53,,,80,,Mike Nardi (college),,83,,,65,,,,,,57,,,,,
65,,,28,Louisiana Tech University,,2006,,74,2007,,35,"Grambling (Grambling, LA)",,59,47,Paul Millsap (college),,,,,66,2,,,,,84,,UTA,2018,,82.1
66,,,77,East Carolina,,,,61,,,63,,,55,,Jeremy Ingram (college),,78,,,67,,,,,,66,,,,,
67,,,59,University of Alabama,74,2007,,75,2008,,100,"Wheeler (Atlanta, GA)",,65,36,Jermareo Davidson (college),,80,,,68,2,,,,,50,,GSW,2009,,0.0
68,,,29,University of Miami,31,2006,,70,2008,,70,"Miami Christian School (Miami, FL)",,,52,Guillermo Diaz (college),,,,,T68,2,,,,,,,LAC,2008,,0.0
69,,,89,Liberty,55,,,73,,,52,,,82,,Dwight Brewington (college),,82,,,70,,,,,,73,,,,,
70,,,37,Louisiana State,40,,,81,,,94,,,79,,Dameon Mason (college),,,,,71,,,,,,83,,,,,
71,,,100,Valparaiso,72,,,50,,,39,,,75,,Kenny Harris (college),,,,,72,,,,,,85,,,,,
72,,,68,DePaul,53,,,95,,,,,,85,,Wesley Green (college),,28,,,73,,,,,,,,,,,
73,,,87,Arkansas,62,,,64,,,59,,,81,,Darian Townes (college),,,,,74,,,,,,79,,,,,
74,,,36,San Diego State,45,,,,,,60,,,,,Lorrenzo Wade (college),,,,,75,,,,,,,,,,,
75,,,94,Southern Methodist,,,,80,,,38,,,72,,Dez Willingham (college),,,,,76,,,,,,65,,,,,
76,,,,Loyola (MD),64,,,62,,,,,,,,Hassan Fofana (college),,68,,,77,,,,,,56,,,,,
77,,,,Morgan State,,,,72,,,,,,77,,Marquise Kately (college),,31,,,78,,,,,,78,,,,,
78,,,60,University of Texas at Austin,66,2006,,78,2007,,,"Enloe (Raleigh, NC)",,60,35,P.J. Tucker (college),,,,,79,2,,,,,,,TOR,2018,,28.6
79,,,26,,73,,,,,,70,,,,,Vincent Banks,,,,,80,,,,,,,,,,,
80,,,,University of South Carolina,91,2006,,86,2007,,,"Laurinburg Institute (Laurinburg, NC)",,66,20,Renaldo Balkman (college),,64,,,T80,1,,,,,64,,NYK,2012,,7.3
81,,,100,Oregon State,,,,92,,,55,,,51,,Wesley Washington (college),,,,,82,,,,,,75,,,,,
82,,,69,Washington,63,,,69,,,100,,,76,,Tim Morris (college),,,,,83,,,,,,99,,,,,
83,,,83,DePaul University,99,,,65,,,,,,88,,Sammy Mejia (college),,65,,,84,,,,,,82,,,,,
84,,,71,Minnesota,89,,,87,,,36,,,,,Lawrence McKenzie (college),,,,,85,,,,,,,,,,,
85,,,,Georgia Tech,69,,,97,,,,,,56,,Matt Causey (college),,85,,,86,,,,,,89,,,,,
86,,,88,North Texas,84,,,83,,,100,,,54,,Keith Wooden (college),,,,,87,,,,,,91,,,,,
87,,,52,South Carolina,,,,,,,100,,,,,Brandon Wallace (college),,52,,,88,,,,,,,,,,,
88,,,,Loyola (MD),,,,79,,,70,,,,,Omari Isreal (college),,90,,,89,,,,,,69,,,,,
89,,,72,Providence College,,,,,,,64,,,,,Gerald Brown (college),,73,,,90,,,,,,,,,,,
90,,,,Washington,,,,,,,65,,,,,Ryan Appleby (college),,43,,,T90,,,,,,,,,,,
91,,,,South Alabama,,,,,,,40,,,,,Daon Merritt (college),,69,,,92,,,,,,,,,,,
92,,,,Boston College,,,,,,,9,,,,,Devon Evertsen (college),,,,,93,,,,,,,,,,,
93,,,,Iowa State University,,2006,,,2007,,,"Notre Dame Preparatory School (Fitchburg, MA)",,91,60,Will Blalock (college),,46,,,94,2,,,,,77,,DET,2007,,-0.1
94,,,,University of Connecticut,,2006,,71,2007,,,"West Nottingham Academy (Colora, MD)",,98,23,Josh Boone (college),,51,,,95,1,,,,,,,NJN,2010,,9.1
95,,,,Ohio State,,,,,,,19,,,,,Sylvester Mayes (college),,,,,96,,,,,,,,,,,
96,,,,Georgetown University,97,2008,,84,2011,,,"National Christian Academy (Fort Washington, MD)",,74,43,Patrick Ewing (college),,,,,97,2,,,,,70,,SAC,2011,,-0.1
97,,,,DePaul,,,,76,,,,,,73,,Karron Clarke (college),,,,,98,,,,,,76,,,,,
98,,,,Fresno State,,,,,,,,,,71,,Shawn Taylor (college),,94,,,99,,,,,,61,,,,,
99,,,,Oklahoma,77,,,,,,61,,,,,Longar Longar (college),,,,,100,,,,,,89,,,,,
0,,,,,1,2002,,,2003,,2,"Cypress Creek (Orlando, FL)",,1,9,Amar'e Stoudemire,,,,,1,1,,,,,1,,PHO,2016,,96.1
1,,,,Syracuse University,2,2003,,,2004,,1,"Oak Hill Academy (Mouth of Wilson, VA)",,2,3,Carmelo Anthony (college),,,,,2,1,,,,,2,,DEN,2018,,108.6
2,,,,University of North Carolina,3,2005,,,2006,,3,"Latta (Latta, SC)",,3,5,Raymond Felton (college),,,,,3,1,,,,,3,,CHA,2018,,44.8
3,,,,University of North Carolina,7,2005,,,2006,,8,"New Hampton School (New Hampton, NH)",,4,14,Rashad McCants (college),,,,,4,1,,,,,6,,MIN,2009,,4.2
4,,,,Villanova,5,,,,,,5,,,14,,Jason Fraser (college),,,,,5,,,,,,7,,,,,
5,,,,Georgia Institute of Technology,6,2003,,,2004,,4,"Lincoln (Dallas, TX)",,8,4,Chris Bosh (college),,,,,T5,1,,,,,13,,TOR,2016,,106.0
6,,,,Michigan State University,4,2006,,,2007,,12,"Rochester (Rochester, MI)",,5,34,Paul Davis (college),,,,,7,2,,,,,11,,LAC,2010,,0.5
7,,,,Duke University,8,2006,,,2007,,7,"Midwest City (Midwest City, OK)",,10,5,Shelden Williams (college),,,,,8,1,,,,,8,,ATL,2012,,13.5
8,,,,University of North Carolina,10,2005,,,2006,,6,"Bloomington North (Bloomington, IN)",,9,13,Sean May (college),,,,,9,1,,,,,15,,CHA,2010,,2.6
9,,,,,9,,,,,,11,,,7,,DeAngelo Collins,,,,,10,,,,,,17,,,,,
10,,,,Duke University,13,2006,,,2007,,9,"Cave Spring (Roanoke, VA)",,12,11,J.J. Redick (college),,,,,11,1,,,,,12,,ORL,2018,,57.6
11,,,,Indiana University,15,2005,,,2006,,13,"The Colony (The Colony, TX)",,13,47,Bracey Wright (college),,,,,12,2,,,,,9,,MIN,2007,,0.5
12,,,,San Diego State,14,,,,,,16,,,11,,Evan Burns (college),,,,,13,,,,,,10,,,,,
13,,,,Duke University,12,,,,2006,,26,"Broughton (Raleigh, NC)",,15,,Shavlik Randolph (college),,,,,14,,,,,,5,,,2015,,2.2
14,,,,Michigan,17,,,,,,14,,,24,,Daniel Horton (college),,,,,15,,,,,,18,,,,,
15,,,,University of Florida,20,,,,2006,,17,"Saginaw (Saginaw, MI)",,16,,Anthony Roberson (college),,,,,16,,,,,,22,,,2009,,0.8
16,,,,Arizona,21,,,,,,24,,,27,,Chris Rodgers (college),,,,,17,,,,,,19,,,,,
17,,,,Texas A&M University,22,2005,,,2006,,22,"Lawrence Academy (Groton, MA)",,26,15,Antoine Wright (college),,,,,18,1,,,,,23,,NJN,2011,,3.8
18,,,,University of Illinois at Urbana-Champaign,23,2006,,,2007,,19,"Proviso East (Maywood, IL)",,38,46,Dee Brown (college),,,,,19,2,,,,,16,,UTA,2009,,0.0
19,,,,University of Arizona,19,2006,,,2007,,39,"Westchester (Los Angeles, CA)",,19,54,Hassan Adams (college),,,,,20,2,,,,,26,,NJN,2009,,0.8
20,,,,Duke,29,,,,,,30,,,25,,Sean Dockery (college),,,,,21,,,,,,21,,,,,
21,,,,Texas,24,,,,,,28,,,21,,Brad Buckman (college),,,,,22,,,,,,34,,,,,
22,,,,,25,,,,,,46,,,17,,Sani Ibrahim,,,,,23,,,,,,20,,,,,
23,,,,Connecticut,28,,,,,,20,,,41,,Rashad Anderson (college),,,,,24,,,,,,29,,,,,
24,,,,Southern Methodist,42,,,,,,15,,,34,,Bryan Hopkins (college),,,,,25,,,,,,31,,,,,
25,,,,,11,,,,,,,,,6,,Lenny Cooke,,,,,T25,,,,,,4,,,,,
26,,,,University of Arizona,26,2004,,,2005,,25,"Lanphier (Springfield, IL)",,32,9,Andre Iguodala (college),,,,,27,1,,,,,41,,PHI,2018,,92.1
27,,,,New Mexico State,33,,,,,,33,,,31,,Elijah Ingram (college),,,,,28,,,,,,28,,,,,
28,,,,Maryland,30,,,,,,23,,,37,,Travis Garrison (college),,,,,29,,,,,,40,,,,,
29,,,,Duke,31,,,,,,55,,,30,,Michael Thompson (college),,,,,30,,,,,,25,,,,,
30,,,,University of Kentucky,34,,,,2007,,50,"Victory Christian (Tulsa, OK)",,23,,Kelenna Azubuike (college),,,,,31,,,,,,35,,,2012,,9.3
31,,,,Oklahoma,35,,,,,,10,,,42,,Kevin Bookout (college),,,,,T31,,,,,,55,,,,,
32,,,,Alabama,18,,,,,,27,,,69,,Kennedy Winston (college),,,,,33,,,,,,30,,,,,
33,,,,University of Connecticut,32,,,,,,18,,,43,,Denham Brown (college),,,,,34,,,,,,56,,,,,
34,,,,Missouri,47,,,,,,32,,,39,,Jimmy McKinney (college),,,,,35,,,,,,32,,,,,
35,,,,Wake Forest,27,,,,,,53,,,20,,Eric Williams (college),,,,,36,,,,,,52,,,,,
36,,,,Notre Dame,16,,,,,,,,,22,,Torin Francis (college),,,,,37,,,,,,14,,,,,
37,,,,Syracuse,38,,,,,,21,,,60,,Gerry McNamara (college),,,,,38,,,,,,36,,,,,
38,,,,Villanova University,49,,,,2007,,36,"St. Raymond (Bronx, NY)",,33,,Allan Ray (college),,,,,39,,,,,,39,,,2007,,0.6
39,,,,University of Florida,58,,,,2006,,40,"Germantown Academy (Fort Washington, PA)",,29,,Matt Walsh (college),,,,,40,,,,,,33,,,2006,,-0.0
40,,,,Florida State University,50,2006,,,2007,,40,"Dougherty Comprehensive (Albany, GA)",,50,45,Alexander Johnson (college),,,,,41,2,,,,,24,,IND,2008,,1.5
41,,,,Villanova,41,,,,,,37,,,44,,Curtis Sumpter (college),,,,,42,,,,,,47,,,,,
42,,,,Maryland,46,,,,,,70,,,28,,John Gilchrist (college),,,,,43,,,,,,27,,,,,
43,,,,San Jose State,53,,,,,,54,,,36,,Antonio Lawrence (college),,,,,44,,,,,,44,,,,,
44,,,,University of Washington,36,2006,,,2007,,40,"Garfield (Seattle, WA)",,57,6,Brandon Roy (college),,,,,45,1,,,,,59,,MIN,2013,,37.4
45,,,,Georgia Institute of Technology,40,2005,,,2006,,,"Worcester Academy (Worcester, MA)",,18,22,Jarrett Jack (college),,,,,46,1,,,,,37,,DEN,2018,,39.2
46,,,,Charlotte,64,,,,,,34,,,48,,De'Angelo Alexander (college),,,,,47,,,,,,51,,,,,
47,,,,University of Illinois at Urbana-Champaign,56,2005,,,2006,,38,"The Colony (The Colony, TX)",,54,3,Deron Williams (college),,,,,48,1,,,,,50,,UTA,2017,,87.0
48,,,,Michigan,48,,,,,,48,,,59,,Lester Abram (college),,,,,49,,,,,,45,,,,,
49,,,,Iowa,65,,,,,,35,,,46,,Greg Brunner (college),,,,,50,,,,,,57,,,,,
50,,,,Arizona State University,55,2005,,,2006,,40,"Garland (Garland, TX)",,49,9,Ike Diogu (college),,,,,51,1,,,,,64,,GSW,2012,,8.7
51,,,,Michigan State,68,,,,,,29,,,66,,Matt Trannon (college),,,,,52,,,,,,48,,,,,
52,,,,Oklahoma State,39,,,,,,,,,35,,Mario Boggan (college),,,,,53,,,,,,42,,,,,
53,,,,Michigan State University,59,2006,,,2007,,56,"Crocket (Detroit, MI)",,70,28,Maurice Ager (college),,,,,54,1,,,,,38,,DAL,2011,,-1.3
54,,,,Cincinnati,44,,,,,,40,,,40,,Eric Hicks (college),,,,,55,,,,,,,,,,,
55,,,,Villanova University,37,2006,,,2007,,51,"East Side (Newark, NJ)",,85,7,Randy Foye (college),,,,,56,1,,,,,63,,BOS,2017,,23.9
56,,,,Marquette University,62,2006,,,2007,,69,"Brown Deer (Brown Deer, WI)",,45,32,Steve Novak (college),,,,,57,2,,,,,62,,HOU,2017,,15.8
57,,,,Vanderbilt University,61,2007,,,2012,,60,"Ridgeway (Memphis, TN)",,64,42,Derrick Byars (college),,,,,58,2,,,,,58,,POR,2012,,0.1
58,,,,Iowa,70,,,,,,70,,,55,,Jeff Horner (college),,,,,59,,,,,,49,,,,,
59,,,,University of Maryland,71,,,,2007,,40,"Fairmont Heights (Capitol Heights, MD)",,65,,Chris McCray (college),,,,,60,,,,,,71,,,2007,,-0.1
60,,,,Wake Forest,60,,,,,,65,,,52,,Justin Gray (college),,,,,61,,,,,,78,,,,,
61,,,,Indiana,45,,,,,,,,,71,,Marshall Strickland (college),,,,,62,,,,,,43,,,,,
62,,,,,51,,,,,,68,,,72,,Julius Lamptey,,,,,T62,,,,,,69,,,,,
